games_played_1,games_played_2,goals_1,goals_2,height,plus_minus_1,plus_minus_2,ppg_3,shots_1,shots_2,avg_toi_1,avg_toi_2,weight,points_1,points_2,age,position_C,position_D,position_L,position_R
1.0,0.5609756097560976,0.2682926829268293,0.391304347826087,72,18,6,0.3417721518987341,2.6097560975609757,3.0869565217391304,20.17,19.5,205,0.6585365853658537,0.6304347826086957,29,False,False,False,True
0.5609756097560976,0.9634146341463414,0.391304347826087,0.189873417721519,72,6,7,0.3292682926829268,3.0869565217391304,2.4683544303797467,19.5,15.83,205,0.6304347826086957,0.34177215189873417,30,False,False,False,True
0.9634146341463414,1.0,0.189873417721519,0.13414634146341464,72,7,-17,0.3414634146341463,2.4683544303797467,2.3048780487804876,15.83,16.52,205,0.34177215189873417,0.32926829268292684,31,False,False,False,True
1.0,1.0,0.13414634146341464,0.13414634146341464,72,-17,-5,0.45,2.3048780487804876,2.658536585365854,16.52,16.17,205,0.32926829268292684,0.34146341463414637,32,False,False,False,True
1.0,0.975609756097561,0.13414634146341464,0.175,72,-5,-4,0.7530864197530864,2.658536585365854,2.1875,16.17,16.0,205,0.34146341463414637,0.45,33,False,False,False,True
0.975609756097561,0.9878048780487805,0.175,0.345679012345679,72,-4,31,0.7083333333333334,2.1875,2.740740740740741,16.0,19.83,205,0.45,0.7530864197530864,34,False,False,False,True
0.9878048780487805,0.8780487804878049,0.345679012345679,0.3055555555555556,72,31,-17,0.5303030303030303,2.740740740740741,2.5,19.83,20.4,205,0.7530864197530864,0.7083333333333334,35,False,False,False,True
0.8780487804878049,0.8048780487804879,0.3055555555555556,0.25757575757575757,72,-17,-1,0.6326530612244898,2.5,2.5606060606060606,20.4,18.4,205,0.7083333333333334,0.5303030303030303,36,False,False,False,True
0.8048780487804879,0.5975609756097561,0.25757575757575757,0.3469387755102041,72,-1,-3,0.4375,2.5606060606060606,2.63265306122449,18.4,17.62,205,0.5303030303030303,0.6326530612244898,37,False,False,False,True
1.0,0.9512195121951219,0.10975609756097561,0.11538461538461539,75,0,21,0.425531914893617,1.646341463414634,2.0,24.38,24.72,220,0.5853658536585366,0.4358974358974359,27,False,True,False,False
